sex,age,address,Rural,Medu,Fedu,Mjob,Fjob,traveltime,studytime,minstudytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,freetimemins,goout,Dalc,Walc,health,absences,G1,G2,G3,Finalpercent
M,16,U,0,4,3,health,services,1,4,101,0,no,no,no,yes,yes,yes,yes,no,4,2,0,2,1,1,2,4,19,19,20,1
M,15,U,0,4,2,teacher,other,1,1,4,0,no,no,no,no,yes,yes,yes,no,3,5,0,2,1,1,3,10,18,19,19,0.95
M,15,U,0,4,4,teacher,teacher,1,1,8,0,no,no,no,yes,yes,yes,yes,no,5,5,1,3,1,1,4,6,18,19,19,0.95
F,18,U,0,2,2,at_home,at_home,1,3,43,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,3,1,2,2,5,18,18,19,0.95
M,15,U,0,3,2,services,other,1,2,30,0,no,yes,yes,no,yes,yes,yes,no,4,2,0,2,1,1,1,0,16,18,19,0.95
F,17,U,0,4,4,services,teacher,2,1,9,1,no,yes,no,no,yes,yes,yes,no,4,2,3,4,2,3,2,24,18,18,18,0.9
F,18,U,0,4,3,services,other,1,2,28,0,no,yes,yes,no,yes,yes,yes,yes,3,1,0,2,1,3,2,21,17,18,18,0.9
M,16,R,1,4,4,teacher,teacher,1,1,14,0,no,no,yes,yes,yes,yes,yes,no,3,5,1,5,2,5,4,8,18,18,18,0.9
M,16,U,0,2,1,other,other,3,1,2,0,no,no,no,no,yes,yes,yes,no,4,3,1,3,1,1,4,6,18,18,18,0.9
F,17,R,1,3,1,services,other,2,4,88,0,no,yes,yes,no,yes,yes,no,no,3,1,3,2,1,1,3,6,18,18,18,0.9
F,15,U,0,4,3,services,other,1,1,8,0,no,no,yes,yes,yes,yes,yes,no,4,5,3,5,1,3,1,4,16,17,18,0.9
M,15,U,0,4,3,teacher,services,1,3,45,0,no,yes,no,yes,yes,yes,yes,no,5,4,2,3,1,1,4,2,15,16,18,0.9
M,15,U,0,4,4,services,teacher,1,2,18,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,3,1,1,5,2,19,18,18,0.9
M,16,U,0,3,3,services,other,1,3,53,0,no,yes,no,yes,yes,yes,yes,no,5,3,0,3,1,1,5,2,16,18,18,0.9
M,15,U,0,3,4,services,other,1,2,19,0,no,yes,yes,yes,yes,yes,yes,no,5,4,2,4,1,1,1,0,16,18,18,0.9
F,17,U,0,3,2,health,health,1,4,71,0,no,yes,yes,yes,no,yes,yes,no,5,2,3,2,1,2,5,0,17,17,18,0.9
M,20,U,0,3,2,services,other,1,1,14,0,no,no,no,yes,yes,yes,no,no,5,5,3,3,1,1,5,0,17,18,18,0.9
M,18,R,1,3,4,other,other,2,2,16,0,no,yes,yes,yes,yes,yes,yes,no,4,2,3,5,3,4,1,13,17,17,17,0.85
F,18,U,0,3,3,services,services,1,4,66,0,no,yes,no,no,yes,yes,yes,no,5,3,3,3,1,1,1,7,16,15,17,0.85
F,16,U,0,2,3,services,teacher,1,2,25,0,yes,no,no,no,yes,yes,yes,no,2,3,3,1,1,1,3,2,16,16,17,0.85
M,15,U,0,4,4,services,services,2,2,23,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,1,5,0,17,16,17,0.85
M,16,U,0,4,4,services,teacher,1,3,54,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,3,1,1,4,0,16,17,17,0.85
F,17,U,0,2,4,services,services,1,2,29,0,no,yes,no,yes,yes,yes,no,no,5,4,5,2,2,3,5,0,16,17,17,0.85
F,15,R,1,3,1,other,other,2,4,74,0,no,yes,no,no,no,yes,yes,no,4,4,4,2,2,3,3,12,16,16,16,0.8
M,18,R,1,4,3,teacher,services,1,3,36,0,no,no,no,no,yes,yes,yes,yes,5,3,3,2,1,2,4,9,16,15,16,0.8
M,18,U,0,4,4,teacher,teacher,1,1,7,0,no,yes,yes,no,yes,yes,yes,yes,1,4,4,2,2,2,1,5,16,15,16,0.8
F,16,U,0,4,4,health,health,1,3,41,0,no,yes,yes,yes,yes,yes,yes,yes,5,4,4,5,1,1,4,4,14,15,16,0.8
